run_id,N,e,a,b,E_per_N,radius,seed,t_max,save_interval,method,collision_method,use_parallel
277,100,0.0,2.0,1.0,0.32,0.05,7,120.0,0.5,adaptive,parallel_transport,true
278,100,0.0,2.0,1.0,0.32,0.05,8,120.0,0.5,adaptive,parallel_transport,true
279,100,0.0,2.0,1.0,0.32,0.05,9,120.0,0.5,adaptive,parallel_transport,true
280,100,0.0,2.0,1.0,0.32,0.05,10,120.0,0.5,adaptive,parallel_transport,true
281,100,0.3,2.0,1.0,0.32,0.05,1,120.0,0.5,adaptive,parallel_transport,true
282,100,0.3,2.0,1.0,0.32,0.05,2,120.0,0.5,adaptive,parallel_transport,true
283,100,0.3,2.0,1.0,0.32,0.05,3,120.0,0.5,adaptive,parallel_transport,true
284,100,0.3,2.0,1.0,0.32,0.05,4,120.0,0.5,adaptive,parallel_transport,true
285,100,0.3,2.0,1.0,0.32,0.05,5,120.0,0.5,adaptive,parallel_transport,true
286,100,0.3,2.0,1.0,0.32,0.05,6,120.0,0.5,adaptive,parallel_transport,true
287,100,0.3,2.0,1.0,0.32,0.05,7,120.0,0.5,adaptive,parallel_transport,true
