time,particle_id,theta,theta_dot,x,y,vx,vy,energy
0.2200081969,1,3.5865480420,0.8628267752,-1.8052597358,-0.4304176130,0.7427516819,-0.7788132181,1.2863326857e+01
0.2200081969,2,6.2615080989,-0.8960409791,1.9995301170,-0.0216755106,-0.0388442915,-0.8958304619,3.9206483673e+01
0.2200081969,3,0.8974761624,0.7352011142,1.2471699526,0.7817555739,-1.1494951380,0.4584603694,8.0546346215e-01
0.2200081969,4,2.3775831772,0.2636378652,-1.4441359554,0.6918221127,-0.3647810098,-0.1903644602,5.6529017646e+00
0.2200081969,5,3.0429627998,-0.3555662162,-1.9902800353,0.0984700222,0.0700252264,0.3538381706,9.2596226009e+00
0.2200081969,6,4.1963499320,-0.9242092892,-0.9868777185,-0.8697804851,-1.6077184077,0.4560407773,1.7609352752e+01
0.2200081969,7,2.6275914056,-0.2335594638,-1.7415684166,0.4916653969,0.2296662130,0.2033798928,6.9042365947e+00
0.2200081969,8,5.3159997680,0.2157759238,1.1352377953,-0.8232914350,0.3552929400,0.1224784920,2.8259853533e+01
0.2200081969,9,4.3151396820,0.7577205944,-0.7737666165,-0.9221286818,1.3974317858,-0.2931494503,1.8620430476e+01
0.2200081969,10,0.4220621026,0.1496749610,1.8244923113,0.4096424679,-0.1226264408,0.1365404078,1.7813641846e-01
0.2300081969,1,3.5951485613,0.8572828690,-1.7977894309,-0.4381646842,0.7512621552,-0.7706070406,1.2925093178e+01
0.2300081969,2,6.2525506488,-0.8954129154,1.9990615911,-0.0306298669,-0.0548527569,-0.8949927837,3.9094389616e+01
0.2300081969,3,0.9048143233,0.7324369076,1.2356631802,0.7863104516,-1.1518455912,0.4525226593,8.1868895972e-01
0.2300081969,4,2.3802216964,0.2640668272,-1.4477816961,0.6899145165,-0.3643670748,-0.1911555595,5.6654553238e+00
0.2300081969,5,3.0394089606,-0.3551993898,-1.9895675751,0.1020059605,0.0724649099,0.3533465943,9.2380068296e+00
0.2300081969,6,4.1870908928,-0.9276163777,-1.0029418494,-0.8651744978,-1.6051000676,0.4651726427,1.7531730145e+01
0.2300081969,7,2.6252578368,-0.2331541822,-1.7392690068,0.4936960913,0.2302146168,0.2027589214,6.8919787096e+00
0.2300081969,8,5.3181586041,0.2159917121,1.1387898497,-0.8220641213,0.3551180740,0.1229845847,2.8282810938e+01
0.2300081969,9,4.3227083130,0.7560108117,-0.7597860842,-0.9250304193,1.3986659962,-0.2872032471,1.8685807160e+01
0.2300081969,10,0.4235580183,0.1495080581,1.8232646892,0.4110066523,-0.1228976129,0.1362963815,1.7940139484e-01
0.2400081969,1,3.6036939790,0.8518067297,-1.7902352810,-0.4458300233,0.7595220283,-0.7624672300,1.2986610294e+01
0.2400081969,2,6.2436005399,-0.8945729545,1.9984332508,-0.0395744302,-0.0708044299,-0.8938721688,3.8982547702e+01
0.2400081969,3,0.9121250964,0.7297234325,1.2241331867,0.7908062249,-1.1541396657,0.4466393354,8.3197219145e-01
0.2400081969,4,2.3828645186,0.2644984847,-1.4514232786,0.6879989946,-0.3639493831,-0.1919496289,5.6780433138e+00
0.2400081969,5,3.0358588457,-0.3548213600,-1.9888307734,0.1055369070,0.0748934978,0.3528398199,9.2164389311e+00
0.2400081969,6,4.1777973447,-0.9311114917,-1.0189793879,-0.8604767584,-1.6023995962,0.4743917089,1.7453990653e+01
0.2400081969,7,2.6229283124,-0.2327505811,-1.7369641355,0.4957205846,0.2307585083,0.2021397059,6.8797529320e+00
0.2400081969,8,5.3203196041,0.2162087186,1.1423401492,-0.8208317403,0.3549419576,0.1234919499,2.8305800690e+01
0.2400081969,9,4.3302600512,0.7543419796,-0.7457933771,-0.9278728683,1.3998669126,-0.2812916263,1.8751152111e+01
0.2400081969,10,0.4250522664,0.1493414585,1.8220343624,0.4123683979,-0.1231673960,0.1360526346,1.8066942918e-01
0.2500081969,1,3.6121849792,0.8463996529,-1.7825997513,-0.4534143046,0.7675394201,-0.7543959054,1.3047880324e+01
